82,21.99,294.468,229.702,255.588,247.378,-25.886
82,21.91,289.304,228.992,244.594,238.366,-15.602
82,21.83,289.954,228.265,246.391,239.937,-18.127
82,21.75,285.334,228.63,238.616,233.183,-9.986
82,21.67,281.796,228.265,234.769,229.491,-6.505
82,21.59,283.73,227.521,235.181,230.23,-7.66
82,21.51,278.267,227.143,231.618,226.185,-4.475
82,21.43,272.901,225.58,226.958,223.605,-1.377
82,21.34,267.741,224.354,219.391,218.192,4.964
82,21.26,267.999,222.639,222.386,221.104,0.253
82,21.18,268.998,221.743,222.903,221.009,-1.16
82,21.1,268.752,221.284,223.618,221.103,-2.334
82,21.02,267.086,221.284,222.593,220.628,-1.309
82,20.94,266.683,222.194,221.864,220.533,0.331
82,20.86,267.482,223.077,220.373,219.86,2.704
82,20.78,268.253,223.509,221.015,219.47,2.494
82,20.7,270.07,223.509,225.118,222.414,-1.609
82,20.62,268.752,223.935,225.805,223.15,-1.87
82,20.54,265.993,225.177,224.524,221.762,0.653
82,20.46,264.696,225.978,220.909,219.472,5.069
82,20.38,265.426,225.978,219.281,218.885,6.698
82,20.3,268.377,226.759,221.016,218.391,5.743
82,20.22,268.126,226.759,219.5,218.491,7.259
82,20.14,269.119,225.58,223.004,221.574,2.576
82,20.06,271.313,225.177,227.055,225.042,-1.878
82,19.98,273.412,225.978,231.355,228.993,-5.376
82,19.9,277.015,226.371,237.043,235.861,-10.671
82,19.82,281.655,226.371,242.811,240.643,-16.439
82,19.74,283.67,226.371,245.571,243.724,-19.2
82,19.66,282.886,232.396,245.71,242.303,-13.313
82,19.58,282.55,238.576,240.895,235.329,-2.319
82,19.5,287.402,236.353,252.681,248.88,-16.328
82,19.42,291.665,232.396,259.4,257.624,-27.004
82,19.34,294.019,239.11,261.712,260.098,-22.602
82,19.26,296.013,245.184,262.519,261.173,-17.335
82,19.18,295.351,245.629,265.806,264.057,-20.177
82,19.1,296.54,245.629,267.419,265.891,-21.79
82,19.02,294.554,245.629,268.409,266.943,-22.78
82,18.94,296.612,245.407,269.477,266.288,-24.07
82,18.86,294.703,245.849,267.168,263.898,-21.319
82,18.79,294.735,245.849,261.597,258.897,-15.748
82,18.71,296.686,245.184,260.511,257.794,-15.327
82,18.63,299.449,244.96,261.545,258.347,-16.585
82,18.55,301.35,244.734,262.678,258.348,-17.944
82,18.47,300.54,244.734,261.11,257.176,-16.376
82,18.39,300.485,244.734,263.893,260.742,-19.159
82,18.31,297.904,244.279,260.559,257.286,-16.28
